Katana ID (required),Material name,Category,Unit of measure,Purchase UoM,Conversion rate,Sell?,Batch trackable?,Default supplier,Variant code,Material variant,Default sales price,Default lead time,Default storage bin,MOQ,Location,Safety stock,Additional info,Website Name
17404246,A - ROYAL VELVET Sr No. 32 Shade ROYAL VELVET-SHEEN-CHILLI,Fabric,m,m,1,no,no,Home Ideas,17404246,A - ROYAL VELVET Sr No. 32 Shade ROYAL VELVET-SHEEN-CHILLI,,,,,FAM,0,,
17404247,A - ROYAL VELVET Sr No. 33 Shade ROYAL VELVET-SHEEN-CARDINAL,Fabric,m,m,1,no,no,Home Ideas,17404247,A - ROYAL VELVET Sr No. 33 Shade ROYAL VELVET-SHEEN-CARDINAL,,,,,FAM,0,,
17404248,A - ROYAL VELVET Sr No. 34 Shade ROYAL VELVET-SHEEN-CERISE,Fabric,m,m,1,no,no,Home Ideas,17404248,A - ROYAL VELVET Sr No. 34 Shade ROYAL VELVET-SHEEN-CERISE,,,,,FAM,0,,
17404217,A - ROYAL VELVET Sr No. 3 Shade ROYAL VELVET-SHEEN-MUSTARD,Fabric,m,m,1,no,no,Home Ideas,17404217,A - ROYAL VELVET Sr No. 3 Shade ROYAL VELVET-SHEEN-MUSTARD,,,,,FAM,0,,
17404218,A - ROYAL VELVET Sr No. 4 Shade ROYAL VELVET-SHEEN-INK,Fabric,m,m,1,no,no,Home Ideas,17404218,A - ROYAL VELVET Sr No. 4 Shade ROYAL VELVET-SHEEN-INK,,,,,FAM,0,,
17404219,A - ROYAL VELVET Sr No. 5 Shade ROYAL VELVET-SHEEN-SMOKE,Fabric,m,m,1,no,no,Home Ideas,17404219,A - ROYAL VELVET Sr No. 5 Shade ROYAL VELVET-SHEEN-SMOKE,,,,,FAM,0,,
17404220,A - ROYAL VELVET Sr No. 6 Shade ROYAL VELVET-SHEEN-AGEAN,Fabric,m,m,1,no,no,Home Ideas,17404220,A - ROYAL VELVET Sr No. 6 Shade ROYAL VELVET-SHEEN-AGEAN,,,,,FAM,0,,
17404221,A - ROYAL VELVET Sr No. 7 Shade ROYAL VELVET-SHEEN-SPRUCE,Fabric,m,m,1,no,no,Home Ideas,17404221,A - ROYAL VELVET Sr No. 7 Shade ROYAL VELVET-SHEEN-SPRUCE,,,,,FAM,0,,
17404222,A - ROYAL VELVET Sr No. 8 Shade ROYAL VELVET-SHEEN-SAGE,Fabric,m,m,1,no,no,Home Ideas,17404222,A - ROYAL VELVET Sr No. 8 Shade ROYAL VELVET-SHEEN-SAGE,,,,,FAM,0,,
17404223,A - ROYAL VELVET Sr No. 9 Shade ROYAL VELVET-SHEEN-SLATE,Fabric,m,m,1,no,no,Home Ideas,17404223,A - ROYAL VELVET Sr No. 9 Shade ROYAL VELVET-SHEEN-SLATE,,,,,FAM,0,,
