Katana ID (required),Material name,Category,Unit of measure,Purchase UoM,Conversion rate,Sell?,Batch trackable?,Default supplier,Variant code,Material variant,Default sales price,Default lead time,Default storage bin,MOQ,Location,Safety stock,Additional info,Website Name
21562115,A - Agora 1004 BRUMA Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1004,A - Agora 1004 BRUMA Grafito,,,,,FAM,0,,Agora® 1004 BRUMA GRAFITO
21562116,A - Agora 1007 BRUMA Niebla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1007,A - Agora 1007 BRUMA Niebla,,,,,FAM,0,,Agora® 1007 BRUMA NIEBLA
21562117,A - Agora 1009 BRUMA Nuez,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1009,A - Agora 1009 BRUMA Nuez,,,,,FAM,0,,Agora® 1009 BRUMA NUEZ
21562118,A - Agora 1013 BRUMA Coral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1013,A - Agora 1013 BRUMA Coral,,,,,FAM,0,,Agora® 1013 BRUMA CORAL
21562119,A - Agora 1016 BRUMA Oliva,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1016,A - Agora 1016 BRUMA Oliva,,,,,FAM,0,,Agora® 1016 BRUMA OLIVA
21562120,A - Agora 1020 BRUMA Agua,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1020,A - Agora 1020 BRUMA Agua,,,,,FAM,0,,
21562121,A - Agora 1021 BRUMA Nieve,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1021,A - Agora 1021 BRUMA Nieve,,,,,FAM,0,,Agora® 1021 BRUMA NIEVE
21562122,A - Agora 1022 BRUMA Avena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1022,A - Agora 1022 BRUMA Avena,,,,,FAM,0,,Agora® 1022 BRUMA AVENA
21562123,A - Agora 1029 SENDA Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1029,A - Agora 1029 SENDA Grafito,,,,,FAM,0,,Agora® 1029 SENDA GRAFITO
21562124,A - Agora 1032 SENDA Niebla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1032,A - Agora 1032 SENDA Niebla,,,,,FAM,0,,Agora® 1032 SENDA NIEBLA
21562125,A - Agora 1034 SENDA Nuez,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1034,A - Agora 1034 SENDA Nuez,,,,,FAM,0,,Agora® 1034 SENDA NUEZ
21562126,A - Agora 1038 SENDA Coral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1038,A - Agora 1038 SENDA Coral,,,,,FAM,0,,Agora® 1038 SENDA CORAL
21562127,A - Agora 1041 SENDA Oliva,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1041,A - Agora 1041 SENDA Oliva,,,,,FAM,0,,Agora® 1041 SENDA OLIVA
21562128,A - Agora 1046 SENDA Nieve,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1046,A - Agora 1046 SENDA Nieve,,,,,FAM,0,,Agora® 1046 SENDA NIEVE
21562129,A - Agora 1047 SENDA Avena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1047,A - Agora 1047 SENDA Avena,,,,,FAM,0,,Agora® 1047 SENDA AVENA
17358628,A - Agora 1200 Tandem Flame Blanco,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358628,A - Agora 1200 Tandem Flame Blanco,,,,,FAM,0,,Agora® 1200 Tandem Flame Blanco
17358629,A - Agora 1201 Tandem Flame Beige,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358629,A - Agora 1201 Tandem Flame Beige,,,,,FAM,0,,Agora® 1201 Tandem Flame Beige
17358630,A - Agora 1202 Tandem Flame Botella,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358630,A - Agora 1202 Tandem Flame Botella,,,,,FAM,0,,Agora® 1202 Tandem Flame Botella
17358631,A - Agora 1203 Tandem Flame Lavanda,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358631,A - Agora 1203 Tandem Flame Lavanda,,,,,FAM,0,,Agora® 1203 Tandem Flame Lavanda
17358632,A - Agora 1204 Tandem Flame Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358632,A - Agora 1204 Tandem Flame Grafito,,,,,FAM,0,,Agora® 1204 Tandem Flame Grafito
17358633,A - Agora 1205 Tandem Flame Granate,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358633,A - Agora 1205 Tandem Flame Granate,,,,,FAM,0,,Agora® 1205 Tandem Flame Granate
17358634,A - Agora 1206 Tandem Flame Grape,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358634,A - Agora 1206 Tandem Flame Grape,,,,,FAM,0,,Agora® Plains 1206 - Tandem Flame Grape
17358635,A - Agora 1207 Tandem Flame Integral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358635,A - Agora 1207 Tandem Flame Integral,,,,,FAM,0,,Agora® 1207 Tandem Flame Integral
17358636,A - Agora 1208 Tandem Flame Marino,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358636,A - Agora 1208 Tandem Flame Marino,,,,,FAM,0,,Agora® 1208 Tandem Flame Marino
17358638,A - Agora 1209 Tandem Flame Marfil,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358638,A - Agora 1209 Tandem Flame Marfil,,,,,FAM,0,,Agora® 1209 Tandem Flame Marfil
17358639,A - Agora 1210 Tandem Flame Piedra,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358639,A - Agora 1210 Tandem Flame Piedra,,,,,FAM,0,,Agora® 1210 Tandem Flame Piedra
17358640,A - Agora 1211 Tandem Flame Sand,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358640,A - Agora 1211 Tandem Flame Sand,,,,,FAM,0,,Agora® 1211 Tandem Flame Sand
17358641,A - Agora 1215 Tandem Lines Integral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358641,A - Agora 1215 Tandem Lines Integral,,,,,FAM,0,,Agora® 1215 Tandem Lines Integral
17358642,A - Agora 1216 Tandem Lines Marino,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358642,A - Agora 1216 Tandem Lines Marino,,,,,FAM,0,,Agora® 1216 Tandem Lines Marino
17358643,A - Agora 1217 Tandem Lines Botella,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358643,A - Agora 1217 Tandem Lines Botella,,,,,FAM,0,,Agora® 1217 Tandem Lines Botella
17358644,A - Agora 1218 Tandem Lines Granate,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358644,A - Agora 1218 Tandem Lines Granate,,,,,FAM,0,,Agora® 1218 Tandem Lines Granate
17358645,A - Agora 1219 Tandem Lines Grape,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358645,A - Agora 1219 Tandem Lines Grape,,,,,FAM,0,,Agora® 1219 Tandem Lines Grape
17358646,A - Agora 1220 Tandem Lines Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358646,A - Agora 1220 Tandem Lines Grafito,,,,,FAM,0,,Agora® 1220 Tandem Lines Grafito
17358647,A - Agora 1222 Tandem Lines Lavanda,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358647,A - Agora 1222 Tandem Lines Lavanda,,,,,FAM,0,,Agora® 1222 Tandem Lines Lavanda
17358648,A - Agora 1223 Tandem Lines Piedra,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358648,A - Agora 1223 Tandem Lines Piedra,,,,,FAM,0,,Agora® 1223 Tandem Lines Piedra
17358649,A - Agora 1226 Logo Red,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358649,A - Agora 1226 Logo Red,,,,,FAM,0,,Agora® Plains 1226 - Logored
17358650,A - Agora 1227 Marmol,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358650,A - Agora 1227 Marmol,,,,,FAM,0,,Agora® Plains 1227 - Marmol
17358651,A - Agora 1228 Sand,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358651,A - Agora 1228 Sand,,,,,FAM,0,,Agora® Plains 1228 - Sand
17358652,A - Agora 1231 Gris,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358652,A - Agora 1231 Gris,,,,,FAM,0,,Agora® Plains 1231 - Gris
17358653,A - Agora 1232 Musgo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358653,A - Agora 1232 Musgo,,,,,FAM,0,,Agora® Plains 1232 - Musgo
21562130,A - Agora 1322 PANAMA Marble,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1322,A - Agora 1322 PANAMA Marble,,,,,FAM,0,,Agora® 1322 PANAMA MARBLE
21562131,A - Agora 1325 ESQUIRE Bombay,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1325,A - Agora 1325 ESQUIRE Bombay,,,,,FAM,0,,Agora® 1325 ESQUIRE BOMBAY
21562132,A - Agora 1329 ESQUIRE Cream,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1329,A - Agora 1329 ESQUIRE Cream,,,,,FAM,0,,Agora® 1329 ESQUIRE CREAM
21562133,A - Agora 1331 ESQUIRE Fossil,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1331,A - Agora 1331 ESQUIRE Fossil,,,,,FAM,0,,Agora® 1331 ESQUIRE FOSSIL
21562134,A - Agora 1332 ESQUIRE Grey,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1332,A - Agora 1332 ESQUIRE Grey,,,,,FAM,0,,Agora® 1332 ESQUIRE GREY
21562135,A - Agora 1333 ESQUIRE Marble,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1333,A - Agora 1333 ESQUIRE Marble,,,,,FAM,0,,Agora® 1333 ESQUIRE MARBLE
21562136,A - Agora 1336 ESQUIRE Mustard,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1336,A - Agora 1336 ESQUIRE Mustard,,,,,FAM,0,,Agora® 1336 ESQUIRE MUSTARD
21562137,A - Agora 1338 ESQUIRE Onyx,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1338,A - Agora 1338 ESQUIRE Onyx,,,,,FAM,0,,Agora® 1338 ESQUIRE ONYX
21562138,A - Agora 1339 ESQUIRE Pearl,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1339,A - Agora 1339 ESQUIRE Pearl,,,,,FAM,0,,Agora® 1339 ESQUIRE PEARL
34432427,A - Agora 1367 Ocean,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,AGORA1367,A - Agora 1367 Ocean,,,,,FAM,0,,Agora® 1367 Ocean
34845092,A - Agora 1368 GLACIER,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1368,A - Agora 1368 GLACIER,,,,,FAM,0,,Agora® 1368 Glacier
21562139,A - Agora 1402 ARTISAN Mineral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1402,A - Agora 1402 ARTISAN Mineral,,,,,FAM,0,,Agora® 1402 ARTISAN MINERAL
21562140,A - Agora 1408 ARTISAN Yute,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1408,A - Agora 1408 ARTISAN Yute,,,,,FAM,0,,Agora® 1408 ARTISAN YUTE
21562141,A - Agora 1409 ARTISAN Arena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1409,A - Agora 1409 ARTISAN Arena,,,,,FAM,0,,Agora® 1409 ARTISAN ARENA
21562142,A - Agora 1410 ARTISAN Hueso,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1410,A - Agora 1410 ARTISAN Hueso,,,,,FAM,0,,Agora® 1410 ARTISAN HUESO
21562143,A - Agora 1411 ARTISAN Niebla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1411,A - Agora 1411 ARTISAN Niebla,,,,,FAM,0,,Agora® 1411 ARTISAN NIEBLA
21562144,A - Agora 1413 ARTISAN Acero,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1413,A - Agora 1413 ARTISAN Acero,,,,,FAM,0,,Agora® 1413 ARTISAN ACERO
21562145,A - Agora 1414 ARTISAN Humo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1414,A - Agora 1414 ARTISAN Humo,,,,,FAM,0,,Agora® 1414 ARTISAN HUMO
21562146,A - Agora 1415 ARTISAN Marengo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1415,A - Agora 1415 ARTISAN Marengo,,,,,FAM,0,,Agora® 1415 ARTISAN MARENGO
21562147,A - Agora 1701 CHEVIOT Musgo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1701,A - Agora 1701 CHEVIOT Musgo,,,,,FAM,0,,Agora® 1701 CHEVIOT MUSGO
21562148,A - Agora 1702 CHEVIOT Piedra,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1702,A - Agora 1702 CHEVIOT Piedra,,,,,FAM,0,,Agora® 1702 CHEVIOT PIEDRA
21562149,A - Agora 1703 CHEVIOT Sea,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1703,A - Agora 1703 CHEVIOT Sea,,,,,FAM,0,,Agora® 1703 CHEVIOT SEA HQ
21562150,A - Agora 1706 CHEVIOT Brisa,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1706,A - Agora 1706 CHEVIOT Brisa,,,,,FAM,0,,Agora® 1706 CHEVIOT BRISA HQ
21562151,A - Agora 1707 CHEVIOT Terra,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1707,A - Agora 1707 CHEVIOT Terra,,,,,FAM,0,,Agora® 1707 CHEVIOT TERRA
21562152,A - Agora 1709 CHEVIOT Stone,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1709,A - Agora 1709 CHEVIOT Stone,,,,,FAM,0,,Agora® 1709 CHEVIOT STONE HQ
21562153,A - Agora 1710 CHEVIOT Dandy,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1710,A - Agora 1710 CHEVIOT Dandy,,,,,FAM,0,,Agora® 1710 CHEVIOT DANDY
21562154,A - Agora 1711 CHEVIOT Sand,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1711,A - Agora 1711 CHEVIOT Sand,,,,,FAM,0,,Agora® 1711 CHEVIOT SAND HQ
21562155,A - Agora 1712 CHEVIOT Avena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1712,A - Agora 1712 CHEVIOT Avena,,,,,FAM,0,,Agora® 1712 CHEVIOT AVENA
21562156,A - Agora 1713 CHEVIOT Mostaza,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora1713,A - Agora 1713 CHEVIOT Mostaza,,,,,FAM,0,,Agora® 1713 CHEVIOT MOSTAZA
21562157,A - Agora 3657 PANAMA Onyx,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3657,A - Agora 3657 PANAMA Onyx,,,,,FAM,0,,Agora® 3657 PANAMA ONYX
21562158,A - Agora 3658 PANAMA Cloud,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3658,A - Agora 3658 PANAMA Cloud,,,,,FAM,0,,Agora® 3658 PANAMA CLOUD
21562159,A - Agora 3659 PANAMA Fossil,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3659,A - Agora 3659 PANAMA Fossil,,,,,FAM,0,,Agora® 3659 PANAMA FOSSIL
21562160,A - Agora 3664 PANAMA Slate,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3664,A - Agora 3664 PANAMA Slate,,,,,FAM,0,,Agora® 3664 PANAMA SLATE
21562161,A - Agora 3665 PANAMA Grass,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3665,A - Agora 3665 PANAMA Grass,,,,,FAM,0,,Agora® 3665 PANAMA GRASS
21562162,A - Agora 3669 PANAMA Stone,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3669,A - Agora 3669 PANAMA Stone,,,,,FAM,0,,Agora® 3669 PANAMA STONE GREY
17358654,A - Agora 3701 Blanco,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358654,A - Agora 3701 Blanco,,,,,FAM,0,,Agora® Plains 3701 - Blanco
17358655,A - Agora-3702 Natural,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358655,A - Agora-3702 Natural,,,,,FAM,0,,Agora® Plains 3702 - Natural
17358656,A - Agora-3703 Alabastro,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358656,A - Agora-3703 Alabastro,,,,,FAM,0,,Agora® Plains 3703 - Alabastro
17358657,A - Agora 3704 Marfil,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358657,A - Agora 3704 Marfil,,,,,FAM,0,,Agora® Plains 3704 - Marfil
17358658,A - Agora-3705 Integral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358658,A - Agora-3705 Integral,,,,,FAM,0,,Agora® Plains 3705 - Integral
17358659,A - Agora 3706 Toffee,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358659,A - Agora 3706 Toffee,,,,,FAM,0,,Agora® Plains 3706 - Toffee
17358660,A - Agora 3707 Avena,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358660,A - Agora 3707 Avena,,,,,FAM,0,,Agora® Plains 3707 - Avena
17358661,A - Agora 3708 Mostaza,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358661,A - Agora 3708 Mostaza,,,,,FAM,0,,Agora® Plains 3708 - Mostaza
17358662,A - Agora-3709 Azafran,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358662,A - Agora-3709 Azafran,,,,,FAM,0,,Agora® Plains 3709 - Azafran
17358663,A - Agora-3710 Terracota,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358663,A - Agora-3710 Terracota,,,,,FAM,0,,Agora® Plains 3710 - Terracota
17358664,A - Agora 3711 Granate,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358664,A - Agora 3711 Granate,,,,,FAM,0,,Agora® Plains 3711 - Granate
17358665,A - Agora 3712 Marron,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358665,A - Agora 3712 Marron,,,,,FAM,0,,Agora® Plains 3712 - Marron
17358666,A - Agora 3713 Café,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358666,A - Agora 3713 Café,,,,,FAM,0,,Agora® Plains 3713 - Café
17358667,A - Agora-3714 Amarillo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358667,A - Agora-3714 Amarillo,,,,,FAM,0,,Agora® Plains 3714 - Amarillo
17358668,A - Agora 3715 Mandarina,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358668,A - Agora 3715 Mandarina,,,,,FAM,0,,Agora® Plains 3715 - Mandarina
17358669,A - Agora 3716 Tomato,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358669,A - Agora 3716 Tomato,,,,,FAM,0,,Agora® Plains 3716 - Tomato
17358670,A - Agora 3717 Rojo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358670,A - Agora 3717 Rojo,,,,,FAM,0,,Agora® Plains 3717 - Rojo
17358671,A - Agora-3718 Brasserie,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358671,A - Agora-3718 Brasserie,,,,,FAM,0,,Agora® Plains 3718 - BRASSERIE
17358672,A - Agora 3721 Turkis,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358672,A - Agora 3721 Turkis,,,,,FAM,0,,Agora® 3721 Turkis
17358673,A - Agora 3722 Azul,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358673,A - Agora 3722 Azul,,,,,FAM,0,,Agora® Plains 3722 - Azul
17358674,A - Agora 3723 Marino,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358674,A - Agora 3723 Marino,,,,,FAM,0,,Agora® Plains 3723 - Marino
17358675,A - Agora 3724 Oliva,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358675,A - Agora 3724 Oliva,,,,,FAM,0,,Agora® Plains 3724 - Oliva
17358676,A - Agora-3725 Botella,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358676,A - Agora-3725 Botella,,,,,FAM,0,,Agora® Plains 3725 - Botella
17358677,A - Agora 3726 Verde Claro,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358677,A - Agora 3726 Verde Claro,,,,,FAM,0,,Agora® Plains 3726 - Verde Claro
17358678,A - Agora 3727 Verde,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358678,A - Agora 3727 Verde,,,,,FAM,0,,Agora® Plains 3727 - Verde
17358679,A - Agora 3728 Silver,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358679,A - Agora 3728 Silver,,,,,FAM,0,,Agora® 3728 Silver
17358680,A - Agora 3729 Mineral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358680,A - Agora 3729 Mineral,,,,,FAM,0,,Agora® Plains 3729 - Mineral
17358681,A - Agora 3730 Basalto,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358681,A - Agora 3730 Basalto,,,,,FAM,0,,Agora® 3730 Basalto
17358682,A - Agora 3731 Antracita,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358682,A - Agora 3731 Antracita,,,,,FAM,0,,Agora® Plains 3731 - Antracita
17358683,A - Agora-3732 Negro,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358683,A - Agora-3732 Negro,,,,,FAM,0,,Agora® Plains 3732 - Negro
17358684,A - Agora 3733 Indigo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358684,A - Agora 3733 Indigo,,,,,FAM,0,,Agora® Plains 3733 - Indigo
17358685,A - Agora-3735 Perla,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358685,A - Agora-3735 Perla,,,,,FAM,0,,Agora® Plains 3735 - Perla
17358686,A - Agora 3736 Brisa,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358686,A - Agora 3736 Brisa,,,,,FAM,0,,Agora® Plains 3736 - Brisa
21562163,A - Agora 3739 PANAMA Blanco,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3739,A - Agora 3739 PANAMA Blanco,,,,,FAM,0,,Agora® 3739 PANAMA BLANCO
21562164,A - Agora 3740 PANAMA Integral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3740,A - Agora 3740 PANAMA Integral,,,,,FAM,0,,Agora® 3740 PANAMA INTEGRAL
21562165,A - Agora 3741 PANAMA Marfil,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3741,A - Agora 3741 PANAMA Marfil,,,,,FAM,0,,Agora® 3741 PANAMA MARFIL
21562166,A - Agora 3742 PANAMA Mineral,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3742,A - Agora 3742 PANAMA Mineral,,,,,FAM,0,,Agora® 3742 PANAMA MINERAL
21562167,A - Agora 3743 PANAMA Ash,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,Agora3743,A - Agora 3743 PANAMA Ash,,,,,FAM,0,,Agora® 3743 PANAMA ASH
17358687,A - Agora-3785 Rayure Amarillo,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358687,A - Agora-3785 Rayure Amarillo,,,,,FAM,0,,Agora® 3785 Rayure Amarillo
17358688,A - Agora-3786 Rayure Azul,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358688,A - Agora-3786 Rayure Azul,,,,,FAM,0,,Agora® 3786 Rayure Azul
17358689,A - Agora 3787 Rayure Beige,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358689,A - Agora 3787 Rayure Beige,,,,,FAM,0,,Agora® 3787 - Rayure Beige
17358690,A - Agora-3788 Rayure Gris,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358690,A - Agora-3788 Rayure Gris,,,,,FAM,0,,Agora® 3788 Abaco Rayure Gris
17358691,A - Agora 3789 Rayure Marron,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358691,A - Agora 3789 Rayure Marron,,,,,FAM,0,,Agora® 3789 Rayure Marron
17358692,A - Agora 3820 Coco,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358692,A - Agora 3820 Coco,,,,,FAM,0,,Agora® Plains 3820 - Coco
17358693,A - Agora 3821 Foret,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358693,A - Agora 3821 Foret,,,,,FAM,0,,Agora® Plains 3821 - Foret
17358694,A - Agora-3822 Fuoco,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358694,A - Agora-3822 Fuoco,,,,,FAM,0,,Agora® Plains 3822 - Fuoco
17358695,A - Agora 3823 Grafito,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358695,A - Agora 3823 Grafito,,,,,FAM,0,,Agora® 3823 Graphito
17358696,A - Agora-3824 Oro,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358696,A - Agora-3824 Oro,,,,,FAM,0,,Agora® Plains 3824 - Oro
17358697,A - Agora 3825 Piedra,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358697,A - Agora 3825 Piedra,,,,,FAM,0,,Agora® Plains 3825 - Piedra
17358698,A - Agora 3826 Splendore,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358698,A - Agora 3826 Splendore,,,,,FAM,0,,Agora® Plains 3826 - Splendore
17358699,A - Agora 3827 Tennere,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358699,A - Agora 3827 Tennere,,,,,FAM,0,,Agora® Plains 3827 - Tennere
17358700,A - Agora-3859 Admiral Navy,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358700,A - Agora-3859 Admiral Navy,,,,,FAM,0,,Agora® Plains 3859 - Admiral Navy
17358701,A - Agora-3934 Optik,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358701,A - Agora-3934 Optik,,,,,FAM,0,,Agora® Plains 3934 - Optik
17358702,A - Agora-3935 Limon,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358702,A - Agora-3935 Limon,,,,,FAM,0,,Agora® Plains 3935 - Limon
17358703,A - Agora-3936 Anis,Fabric,m,m,1,no,no,SUJAN IMPEX PVT. LTD.,17358703,A - Agora-3936 Anis,,,,,FAM,0,,Agora® Plains 3936 - Anis
